"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M09","60.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M10","60.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M11","60.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1991-M12","60.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M01","60.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M02","60.8","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M03","61.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M04","61.8","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M05","62.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M06","62.2","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M07","62","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M08","62.1","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M09","62.3","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M10","62.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M11","62.5","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1992-M12","62.6","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M01","62.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M02","62.7","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M03","63","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M04","63.4","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M05","63.6","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M06","63.6","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Index","Monthly","1993-M07","63.4","Units"
